Rank,Movie,Year,Movie Rating,Duration,Numerical Rating,Votes
1,The Shawshank Redemption,1994,R,2h 22m,9.3,2800000
2,The Godfather,1972,R,2h 55m,9.2,1900000
3,The Dark Knight,2008,PG-13,2h 32m,9.0,2800000
4,The Godfather Part II,1974,R,3h 22m,9.0,1300000
5,12 Angry Men,1957,Approved,1h 36m,9.0,830000
6,Schindler's List,1993,R,3h 15m,9.0,1400000
7,The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9.0,1900000
8,Pulp Fiction,1994,R,2h 34m,8.9,2100000
9,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58m,8.8,1900000
10,"The Good, the Bad and the Ugly",1966,Approved,2h 58m,8.8,788000
11,Forrest Gump,1994,PG-13,2h 22m,8.8,2200000
12,Fight Club,1999,R,2h 19m,8.8,2200000
13,The Lord of the Rings: The Two Towers,2002,PG-13,2h 59m,8.8,1700000
14,Inception,2010,PG-13,2h 28m,8.8,2500000
15,Star Wars: Episode V - The Empire Strikes Back,1980,PG,2h 4m,8.7,1300000
16,The Matrix,1999,R,2h 16m,8.7,2000000
17,Goodfellas,1990,18+,2h 25m,8.7,1200000
18,Spider-Man: Across the Spider-Verse,2023,PG,2h 20m,8.8,246000
19,One Flew Over the Cuckoo's Nest,1975,R,2h 13m,8.7,1000000
20,Se7en,1995,R,2h 7m,8.6,1700000
21,It's a Wonderful Life,1946,PG,2h 10m,8.6,478000
22,Seven Samurai,1954,Not Rated,3h 27m,8.6,357000
23,The Silence of the Lambs,1991,R,1h 58m,8.6,1500000
24,Interstellar,2014,PG-13,2h 49m,8.7,2000000
25,Saving Private Ryan,1998,R,2h 49m,8.6,1400000
26,City of God,2002,R,2h 10m,8.6,780000
27,Life Is Beautiful,1997,PG-13,1h 56m,8.6,721000
28,The Green Mile,1999,R,3h 9m,8.6,1400000
29,Star Wars: Episode IV - A New Hope,1977,PG,2h 1m,8.6,1400000
30,Terminator 2: Judgment Day,1991,R,2h 17m,8.6,1100000
31,Back to the Future,1985,PG,1h 56m,8.5,1300000
32,Spirited Away,2001,PG,2h 5m,8.6,807000
33,The Pianist,2002,R,2h 30m,8.5,875000
34,Psycho,1960,R,1h 49m,8.5,697000
35,Parasite,2019,R,2h 12m,8.5,883000
36,Gladiator,2000,R,2h 35m,8.5,1600000
37,The Lion King,1994,G,1h 28m,8.5,1100000
38,Léon: The Professional,1994,R,1h 50m,8.5,1200000
39,Oppenheimer,2023,R,3h,8.6,406000
40,American History X,1998,R,1h 59m,8.5,1200000
41,The Departed,2006,R,2h 31m,8.5,1400000
42,Whiplash,2014,R,1h 46m,8.5,928000
43,The Prestige,2006,PG-13,2h 10m,8.5,1400000
44,The Usual Suspects,1995,R,1h 46m,8.5,1100000
45,Grave of the Fireflies,1988,Not Rated,1h 29m,8.5,294000
46,Casablanca,1942,PG,1h 42m,8.5,591000
47,Harakiri,1962,Not Rated,2h 13m,8.6,63000
48,The Intouchables,2011,R,1h 52m,8.5,896000
49,Modern Times,1936,G,1h 27m,8.5,252000
50,Cinema Paradiso,1988,PG,2h 35m,8.5,273000
51,Once Upon a Time in the West,1968,PG-13,2h 45m,8.5,341000
52,Rear Window,1954,PG,1h 52m,8.5,508000
53,Alien,1979,R,1h 57m,8.5,917000
54,City Lights,1931,G,1h 27m,8.5,191000
55,Apocalypse Now,1979,R,2h 27m,8.4,690000
56,Memento,2000,R,1h 53m,8.4,1300000
57,Django Unchained,2012,R,2h 45m,8.5,1600000
58,Indiana Jones and the Raiders of the Lost Ark,1981,PG,1h 55m,8.4,1000000
59,WALL·E,2008,G,1h 38m,8.4,1200000
60,The Lives of Others,2006,R,2h 17m,8.4,401000
61,Sunset Blvd.,1950,Passed,1h 50m,8.4,230000
62,Paths of Glory,1957,Approved,1h 28m,8.4,205000
63,Avengers: Infinity War,2018,PG-13,2h 29m,8.4,1200000
64,The Shining,1980,R,2h 26m,8.4,1100000
65,The Great Dictator,1940,G,2h 5m,8.4,231000
66,Witness for the Prosecution,1957,Approved,1h 56m,8.4,132000
67,Spider-Man: Into the Spider-Verse,2018,PG,1h 57m,8.4,626000
68,Aliens,1986,R,2h 17m,8.4,742000
69,American Beauty,1999,R,2h 2m,8.3,1200000
70,The Dark Knight Rises,2012,PG-13,2h 44m,8.4,1800000
71,Inglourious Basterds,2009,R,2h 33m,8.3,1500000
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,8.4,506000
73,Oldboy,2003,R,2h,8.4,608000
74,Coco,2017,PG,1h 45m,8.4,552000
75,Amadeus,1984,PG,2h 40m,8.4,416000
76,Toy Story,1995,G,1h 21m,8.3,1000000
77,Das Boot,1981,R,2h 29m,8.4,258000
78,Braveheart,1995,R,2h 58m,8.3,1100000
79,Joker,2019,R,2h 2m,8.4,1400000
80,Avengers: Endgame,2019,PG-13,3h 1m,8.4,1200000
81,Princess Mononoke,1997,PG-13,2h 14m,8.3,414000
82,Good Will Hunting,1997,R,2h 6m,8.3,1000000
83,Once Upon a Time in America,1984,R,3h 49m,8.3,366000
84,Your Name.,2016,TV-PG,1h 46m,8.4,297000
85,3 Idiots,2009,PG-13,2h 50m,8.4,417000
86,High and Low,1963,Not Rated,2h 23m,8.4,49000
87,Singin' in the Rain,1952,G,1h 43m,8.3,253000
88,Requiem for a Dream,2000,Unrated,1h 42m,8.3,873000
89,Capernaum,2018,R,2h 6m,8.4,99000
90,Toy Story 3,2010,G,1h 43m,8.3,868000
